Feature Name,Observed Ratio,Expected Ratio,Fold Change,P-value,FDR P-value,Bonferroni P-value,log2(Fold Change),-log10(P-value),-log10(FDR P-value)
GO:0008528,5/120 (4.2%),0/120 (0.0%),12.96518987341772,4.5518569470118116e-05,0.027902883085182403,0.027902883085182406,3.696571429303198,4.341811395141023,1.5543509206226076
GO:0038022,4/120 (3.3%),0/120 (0.0%),10.505128205128205,0.0006019879805402035,0.14165696038478118,0.36901863207114477,3.39302186373069,3.220412179900276,0.8487620813451932
GO:0004175,2/120 (1.7%),0/120 (0.0%),51.2125,0.000693264080186531,0.14165696038478118,0.4249708811543435,5.678424082592938,3.159101301143946,0.8487620813451932
GO:0004888,4/120 (3.3%),0/120 (0.0%),8.447422680412371,0.0013513787888254417,0.20709879938749892,0.8283951975499958,3.078511240405811,2.8692229020222317,0.6838224188317793
GO:0005198,2/120 (1.7%),0/120 (0.0%),29.264285714285716,0.0021423656529194032,0.26265402904791885,1.0,4.871069160535335,2.6691064030221088,0.5806159328397125
GO:0016887,4/120 (3.3%),0/120 (0.0%),7.033476394849786,0.002628483765408265,0.2685434246992111,1.0,2.8142379379386586,2.5802947010177757,0.5709854768830045
GO:0008061,2/120 (1.7%),0/120 (0.0%),19.50952380952381,0.004772292468627995,0.41791646903842294,1.0,4.286106659814179,2.321272948568529,0.37891051406437076
GO:0140359,2/120 (1.7%),0/120 (0.0%),16.066666666666666,0.006966684172531924,0.5068620569603015,1.0,4.005998740621443,2.1569738773132308,0.2951102182844502
GO:0005509,3/120 (2.5%),0/120 (0.0%),7.587037037037037,0.007441694147867397,0.5068620569603015,1.0,2.92353658042947,2.12832818336354,0.2951102182844502
GO:1904315,2/120 (1.7%),0/120 (0.0%),14.375438596491227,0.008638057590519596,0.5295129302988513,1.0,3.845534068428197,2.063583904807912,0.27612343028949693
GO:0005388,1/120 (0.8%),0/120 (0.0%),81.94,0.012145113092302935,0.5576968550674865,1.0,6.356495987705577,1.9155984367967316,0.25360180455037484
GO:0051019,1/120 (0.8%),0/120 (0.0%),68.28333333333333,0.014556524765219875,0.5576968550674865,1.0,6.093461581871782,1.836942296412865,0.25360180455037484
GO:0015144,1/120 (0.8%),0/120 (0.0%),68.28333333333333,0.014556524765219875,0.5576968550674865,1.0,6.093461581871782,1.836942296412865,0.25360180455037484
GO:0005246,1/120 (0.8%),0/120 (0.0%),68.28333333333333,0.014556524765219875,0.5576968550674865,1.0,6.093461581871782,1.836942296412865,0.25360180455037484
GO:0042500,1/120 (0.8%),0/120 (0.0%),68.28333333333333,0.014556524765219875,0.5576968550674865,1.0,6.093461581871782,1.836942296412865,0.25360180455037484
GO:0008200,1/120 (0.8%),0/120 (0.0%),68.28333333333333,0.014556524765219875,0.5576968550674865,1.0,6.093461581871782,1.836942296412865,0.25360180455037484
GO:0004571,1/120 (0.8%),0/120 (0.0%),58.52857142857143,0.0169620989754842,0.5934406944010843,1.0,5.871069160535335,1.7705204069692362,0.2266226758353918
GO:0005231,2/120 (1.7%),0/120 (0.0%),9.527906976744186,0.018895691700093312,0.5934406944010843,1.0,3.2521593278908405,1.723637205570978,0.2266226758353918
GO:0017147,1/120 (0.8%),0/120 (0.0%),51.2125,0.019361849735761313,0.5934406944010843,1.0,5.678424082592938,1.7130531546898256,0.2266226758353918
GO:0005432,1/120 (0.8%),0/120 (0.0%),51.2125,0.019361849735761313,0.5934406944010843,1.0,5.678424082592938,1.7130531546898256,0.2266226758353918
GO:0051117,1/120 (0.8%),0/120 (0.0%),45.522222222222226,0.02175579102536396,0.6350618999308623,1.0,5.508499081150626,1.6624251214402075,0.19718394165571182
GO:0061891,1/120 (0.8%),0/120 (0.0%),37.24545454545455,0.026526300943505974,0.6443940740435222,1.0,5.218992463955642,1.5763233075687115,0.19084846207968476
GO:0005230,2/120 (1.7%),0/120 (0.0%),7.878846153846154,0.026916321781035122,0.6443940740435222,1.0,2.9779843644518467,1.5699842884057948,0.19084846207968476
GO:0005080,1/120 (0.8%),0/120 (0.0%),34.141666666666666,0.028902897364615144,0.6443940740435222,1.0,5.093461581871782,1.5390586193059839,0.19084846207968476
GO:0008320,1/120 (0.8%),0/120 (0.0%),34.141666666666666,0.028902897364615144,0.6443940740435222,1.0,5.093461581871782,1.5390586193059839,0.19084846207968476
GO:0004222,2/120 (1.7%),0/120 (0.0%),7.3819819819819825,0.030345136823078152,0.6443940740435222,1.0,2.8840082162428327,1.5179108999802737,0.19084846207968476
GO:0008137,1/120 (0.8%),0/120 (0.0%),31.515384615384615,0.03127373990034605,0.6443940740435222,1.0,4.977984364451847,1.5048201801269918,0.19084846207968476
GO:0005524,6/120 (5.0%),2/120 (1.7%),2.5394628099173557,0.03178394539579744,0.6443940740435222,1.0,1.3445233460395005,1.4977921940615606,0.19084846207968476
GO:0016757,3/120 (2.5%),0/120 (0.0%),4.282578397212545,0.03354783159905972,0.6443940740435222,1.0,2.0984796566384074,1.4743355456886393,0.19084846207968476
GO:0004983,1/120 (0.8%),0/120 (0.0%),29.264285714285716,0.033638842364425305,0.6443940740435222,1.0,4.871069160535335,1.4731589582781939,0.19084846207968476
GO:0050839,1/120 (0.8%),0/120 (0.0%),29.264285714285716,0.033638842364425305,0.6443940740435222,1.0,4.871069160535335,1.4731589582781939,0.19084846207968476
GO:0070403,1/120 (0.8%),0/120 (0.0%),29.264285714285716,0.033638842364425305,0.6443940740435222,1.0,4.871069160535335,1.4731589582781939,0.19084846207968476
GO:0016829,2/120 (1.7%),0/120 (0.0%),6.771900826446281,0.035525055476799884,0.6598651768955008,1.0,2.7595608453183442,1.4494652351950246,0.18054479008184757
GO:0003674,2/120 (1.7%),0/120 (0.0%),6.661788617886179,0.03659937359616155,0.6598651768955008,1.0,2.735909577253699,1.4365263475580075,0.18054479008184757
GO:0055077,1/120 (0.8%),0/120 (0.0%),25.60625,0.03835188216819693,0.6717058219744205,1.0,4.678424082592938,1.4162133176288527,0.1728208874607133
GO:0016831,1/120 (0.8%),0/120 (0.0%),22.761111111111113,0.043042126629475645,0.7329117673296824,1.0,4.508499081150626,1.366106279148598,0.13494830539747027
GO:0051537,1/120 (0.8%),0/120 (0.0%),20.485,0.04770968507939201,0.7904334311801974,1.0,4.356495987705577,1.321393450109145,0.102134699657725
GO:0005215,1/120 (0.8%),0/120 (0.0%),19.50952380952381,0.05003499107382616,0.8043140888110348,1.0,4.286106659814179,1.3007261733567022,0.09457432388815862
GO:0000166,6/120 (5.0%),2/120 (1.7%),2.257300275482094,0.05117169569923387,0.8043140888110348,1.0,1.1745983445971881,1.2909701913800744,0.09457432388815862
GO:0005544,1/120 (0.8%),0/120 (0.0%),17.81304347826087,0.054668724365845,0.8377982009065748,1.0,4.154862126535926,1.2622610597711077,0.07686057658065507
GO:0035091,1/120 (0.8%),0/120 (0.0%),17.070833333333333,0.056977178672352774,0.845467826719379,1.0,4.093461581871782,1.244299059437793,0.07290291431590465
GO:0005216,2/120 (1.7%),0/120 (0.0%),5.153459119496855,0.057927648812747014,0.845467826719379,1.0,2.365541127308583,1.2371140984364193,0.07290291431590465
GO:0005243,1/120 (0.8%),0/120 (0.0%),15.757692307692308,0.06157732988769491,0.8631368915441056,1.0,3.9779843644518467,1.2105791468745448,0.06392032070708561
GO:0016740,6/120 (5.0%),2/120 (1.7%),2.148776223776224,0.06195436089386728,0.8631368915441056,1.0,1.1035152465357057,1.2079281187393132,0.06392032070708561
GO:0019904,1/120 (0.8%),0/120 (0.0%),14.127586206896552,0.06843586410069362,0.9322485487494486,1.0,3.8204430874653665,1.1647162447843813,0.030468284041309947
GO:0004714,1/120 (0.8%),0/120 (0.0%),13.216129032258065,0.07298058066958511,0.9725455641403408,1.0,3.7242277722060635,1.1367926854959884,0.012090042659147525
GO:0016627,1/120 (0.8%),0/120 (0.0%),12.803125,0.07524468687762548,0.9813828309783919,1.0,3.678424082592939,1.1235241607333661,0.008161544150668474
GO:0000149,1/120 (0.8%),0/120 (0.0%),12.415151515151514,0.07750330931462553,0.9897818460388635,1.0,3.634029963234485,1.1106797531530905,0.004460516010262676
GO:0015297,1/120 (0.8%),0/120 (0.0%),11.705714285714286,0.0820041555265585,1.0,1.0,3.5491410656479725,1.0861641393659636,-0.0
GO:0004197,1/120 (0.8%),0/120 (0.0%),10.2425,0.09316122317262582,1.0,1.0,3.3564959877055762,1.0307648179729683,-0.0
GO:0022841,1/120 (0.8%),0/120 (0.0%),8.535416666666666,0.11073347516352686,1.0,1.0,3.0934615818717823,0.9557210703487392,-0.0
GO:0022857,2/120 (1.7%),0/120 (0.0%),3.472033898305085,0.11357188544449992,1.0,1.0,1.7957810332310975,0.9447291642893801,-0.0
GO:0015271,1/120 (0.8%),0/120 (0.0%),8.033333333333333,0.11723565200038157,1.0,1.0,3.0059987406214432,0.9309402969144085,-0.0
GO:0005516,1/120 (0.8%),0/120 (0.0%),7.587037037037037,0.12369067926010058,1.0,1.0,2.92353658042947,0.9076630254995672,-0.0
GO:0016798,1/120 (0.8%),0/120 (0.0%),7.316071428571429,0.12796800408675277,1.0,1.0,2.8710691605353347,0.892898603677057,-0.0
GO:0051536,1/120 (0.8%),0/120 (0.0%),7.316071428571429,0.12796800408675277,1.0,1.0,2.8710691605353347,0.892898603677057,-0.0
GO:0016301,3/120 (2.5%),1/120 (0.8%),2.2469835466179164,0.1499788853540675,1.0,1.0,1.1679895605215387,0.823969878408845,-0.0
GO:0005267,1/120 (0.8%),0/120 (0.0%),6.114925373134328,0.15112584655281416,1.0,1.0,2.6123348921351663,0.8206612533623637,-0.0
GO:0005515,5/120 (4.2%),2/120 (1.7%),1.7523524379811801,0.15827469937885638,1.0,1.0,0.8092929629486444,0.8005885026886761,-0.0
GO:0008233,2/120 (1.7%),0/120 (0.0%),2.8061643835616437,0.15981060639819256,1.0,1.0,1.4885995237129213,0.7963944005705395,-0.0
GO:0046872,7/120 (5.8%),4/120 (3.3%),1.5336363636363637,0.17335404848142738,1.0,1.0,0.6169564498755438,0.7610660114485243,-0.0
GO:0008017,1/120 (0.8%),0/120 (0.0%),5.058024691358025,0.17971934624250602,1.0,1.0,2.338574079708314,0.7454051698908781,-0.0
GO:0004713,1/120 (0.8%),0/120 (0.0%),4.763953488372093,0.189698108435447,1.0,1.0,2.2521593278908405,0.7219369996339694,-0.0
GO:0016747,1/120 (0.8%),0/120 (0.0%),4.358510638297872,0.2054143107821483,1.0,1.0,2.1238352309153012,0.6873693033034073,-0.0
GO:0016787,4/120 (3.3%),2/120 (1.7%),1.6019550342130988,0.24048881322049478,1.0,1.0,0.6798336528476101,0.6189051208269699,-0.0
GO:0004672,2/120 (1.7%),0/120 (0.0%),2.0484999999999998,0.2554797970893978,1.0,1.0,1.0345678928182138,0.5926434374451229,-0.0
GO:0106310,1/120 (0.8%),0/120 (0.0%),3.0804511278195488,0.277806556440196,1.0,1.0,1.623141647091749,0.5562575088064771,-0.0
GO:0008237,1/120 (0.8%),0/120 (0.0%),2.968840579710145,0.2866013542653253,1.0,1.0,1.5698996258147697,0.5427217617803762,-0.0
GO:0016491,2/120 (1.7%),1/120 (0.8%),1.7,0.329240062461605,1.0,1.0,0.765534746362977,0.4824873245916022,-0.0
GO:0008168,1/120 (0.8%),0/120 (0.0%),2.438690476190476,0.33718351568522364,1.0,1.0,1.2861066598141784,0.47213366542908397,-0.0
GO:0042302,1/120 (0.8%),0/120 (0.0%),2.1227979274611397,0.37660613496498024,1.0,1.0,1.0859670453248582,0.4241126095457589,-0.0
GO:0004674,1/120 (0.8%),0/120 (0.0%),1.3388888888888888,0.5276962911028698,1.0,1.0,0.4210362399002868,0.27761595823754026,-0.0
GO:0004930,1/120 (0.8%),0/120 (0.0%),1.304777070063694,0.5368977503828427,1.0,1.0,0.3838033337013114,0.2701084157394343,-0.0
GO:0070181,0/120 (0.0%),0/120 (0.0%),0.0,1.0,1.0,1.0,0.0,-0.0,-0.0
GO:0001006,0/120 (0.0%),0/120 (0.0%),0.0,1.0,1.0,1.0,0.0,-0.0,-0.0
GO:0001217,0/120 (0.0%),0/120 (0.0%),0.0,1.0,1.0,1.0,0.0,-0.0,-0.0
